epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.352,1.91548,3.18765,1.81991,0.98082,0.1031,0.3114,0.14161,1.91489,3.083,1.91914,0.000219202,0.000219202,0.000219202
2,469.851,1.82139,1.89905,1.71642,0.57722,0.36521,0.4185,0.19404,1.94372,2.05188,1.94475,0.000426965,0.000426965,0.000426965
3,706.494,1.82825,1.71043,1.71302,0.56889,0.41282,0.42854,0.18909,1.97345,1.93248,1.97847,0.000620053,0.000620053,0.000620053
4,948.267,1.76338,1.60338,1.66669,0.66029,0.40137,0.43888,0.2058,1.92515,1.77763,1.9083,0.000600967,0.000600967,0.000600967
5,1179.98,1.76137,1.56047,1.66332,0.70598,0.42328,0.43505,0.20562,1.91645,1.69454,1.92911,0.000578956,0.000578956,0.000578956
6,1414.14,1.71121,1.526,1.63161,0.72921,0.4207,0.46277,0.21415,1.87188,1.65886,1.8843,0.000556945,0.000556945,0.000556945
7,1645.66,1.68383,1.46062,1.61469,0.80602,0.43326,0.49493,0.23395,1.85618,1.56886,1.85897,0.000534934,0.000534934,0.000534934
8,1878.06,1.6833,1.42874,1.61112,0.69519,0.44166,0.47525,0.22473,1.88601,1.53048,1.86554,0.000512923,0.000512923,0.000512923
9,2108.61,1.66052,1.37222,1.58318,0.7318,0.45807,0.50739,0.23822,1.84612,1.50369,1.85477,0.000490912,0.000490912,0.000490912
10,2339.63,1.64725,1.35007,1.57699,0.71723,0.46923,0.50618,0.23723,1.85181,1.48458,1.84495,0.000468901,0.000468901,0.000468901
11,2570.91,1.63604,1.3211,1.57007,0.57907,0.49774,0.49207,0.24005,1.84808,1.48073,1.85042,0.00044689,0.00044689,0.00044689
12,2801.08,1.6581,1.32165,1.57677,0.67196,0.48854,0.51464,0.2455,1.80731,1.39533,1.80972,0.000424879,0.000424879,0.000424879
13,3030.59,1.60221,1.26322,1.54336,0.70553,0.46453,0.50371,0.24485,1.84471,1.43418,1.85124,0.000402868,0.000402868,0.000402868
14,3259.7,1.6004,1.25259,1.5361,0.80519,0.42621,0.50669,0.24398,1.8442,1.4046,1.81446,0.000380857,0.000380857,0.000380857
15,3488.52,1.57871,1.21601,1.53203,0.62415,0.49466,0.51744,0.25221,1.80418,1.36793,1.81606,0.000358846,0.000358846,0.000358846
16,3717.86,1.56615,1.20729,1.53471,0.70368,0.50883,0.53608,0.25127,1.83546,1.34551,1.82582,0.000336835,0.000336835,0.000336835
17,3946.93,1.57614,1.19339,1.52778,0.72617,0.48665,0.52242,0.25237,1.81545,1.31667,1.8152,0.000314824,0.000314824,0.000314824
18,4177.36,1.54829,1.17987,1.51866,0.50846,0.49497,0.51145,0.24598,1.84388,1.34793,1.8177,0.000292813,0.000292813,0.000292813
19,4406.04,1.5438,1.16928,1.5024,0.72449,0.50231,0.53181,0.25632,1.80075,1.29927,1.79374,0.000270802,0.000270802,0.000270802
20,4636.29,1.53339,1.14199,1.49575,0.59138,0.49796,0.5305,0.2631,1.79076,1.28639,1.79672,0.000248791,0.000248791,0.000248791
21,4863.54,1.53925,1.1439,1.59208,0.62223,0.52244,0.54755,0.26411,1.77472,1.29716,1.7894,0.00022678,0.00022678,0.00022678
22,5088.72,1.50537,1.1021,1.56228,0.89391,0.46593,0.54337,0.26776,1.74625,1.25259,1.75792,0.000204769,0.000204769,0.000204769
23,5313.78,1.48997,1.06747,1.55637,0.72356,0.51583,0.55417,0.26957,1.76928,1.25226,1.77371,0.000182758,0.000182758,0.000182758
24,5538.14,1.474,1.05829,1.55068,0.54118,0.5339,0.53883,0.26891,1.77346,1.25835,1.78651,0.000160747,0.000160747,0.000160747
25,5764.88,1.46693,1.03574,1.53708,0.55319,0.52674,0.55683,0.27158,1.76426,1.23167,1.7907,0.000138736,0.000138736,0.000138736
26,208.143,1.44756,1.02032,1.52821,0.56767,0.525,0.55927,0.27809,1.75684,1.21107,1.77032,0.000116725,0.000116725,0.000116725
27,408.377,1.43422,1.00278,1.50867,0.52572,0.55126,0.55988,0.27785,1.73484,1.19771,1.75883,9.4714e-05,9.4714e-05,9.4714e-05
28,611.847,1.42882,1.00277,1.51286,0.65848,0.53362,0.56321,0.27678,1.74355,1.20683,1.76225,7.2703e-05,7.2703e-05,7.2703e-05
29,813.563,1.42032,0.98006,1.48638,0.52942,0.54795,0.56448,0.27778,1.73964,1.18828,1.76283,5.0692e-05,5.0692e-05,5.0692e-05
30,1015.26,1.40866,0.96686,1.49231,0.55643,0.52817,0.55911,0.27834,1.74704,1.19597,1.77044,2.8681e-05,2.8681e-05,2.8681e-05
